record_id,country_of_origin,destination_country,origin_iso3,destination_iso3,year_of_migration,application_date,arrival_date,age,gender,marital_status,field_of_study,subfield,degree_level,prior_education_country,institution_type,institution_name,scholarship_type,scholarship_amount_usd,tuition_usd,living_cost_usd_monthly,funding_source,part_time_work_allowed,hours_worked_per_week,visa_type,visa_status,visa_expiry_date,language_test,language_score,gpa_4_scale,admission_decision,enrollment_status,duration_months,housing_type,on_campus_housing,dependents_count,nationality_status,region_origin,region_destination,application_channel,agent_name,travel_route,flight_cost_usd,covid_vaccination_status,health_insurance_provider,bank_balance_at_enrollment_usd,remittance_sent_usd,part_time_job_sector,student_id_external,notes
1023,Rusisa,Italy,URS,ITA,2013,  08/2013  ,Oct-13,124,No-nbinary,Widowed,Engineering,Social Theory,Certificate,Syria,  Research ,metROPOlItan coLLegE,  NOne ,0 INR,15621,"2,130 USD",FamilY,No,11,StUdEnt#,AppRoVed,  2016-12,DuOLiNGO,123,2.63,Reject,Withdrawn,13,Homestay,FALSE,2,Stateless,Europe,Europe,eMAIl, ,rUS-lHr-iSt-iTa,USD 599,Partially Vaccinated,Cigna,"$63,273.00🙂",3580, LOgiSTics  ,s188394,LaTe sUBmIsSIOn  
1024,Taiwan,Canada,twn^,CAN,2025,"May 23, 2042", 01-04-2025  ,28,Other,Divorced,Public Health ,curriCulum StUdIEs@,bacHElOr,  Kenya,Research,Metropolitan College,University,"8,521.00",na,910,MixEd,N,8,tRaiNInG, ExPIReD  ,24-Jnu-2028,Duolingo,100,3.88,oFFER,DefErRed ,39,Off-amcmpus,0,2,siNgLE,Asia, aMeRICAs ,Email,GoAborad Inc. ,TAI-CAN,"£1,397", fUlLY vAccINAteD,aLLIAnz,"€6,491","$8,303",  TUtORING,S989510-2022, NEeDs TRANscriptE val
1025,pakIsTAn??,United States,PKA,USA,na,na,2007-03,34,Other,Divorced,Arts,Astrophysics,MAstEr, Saudi Arabia ,Research,Global Tech University  ,nOnE,£0%," USD 5,535 ","1,841.00",aFmily,TRUE,23,Student,Rejetced,08-04-2010,tOEfL ,77,2.79,REJecT,  GRadUATEd,54,Private Dorm,NA,0,Dual,ASIA~,Americas,  walk-nI  ,NA,  PAK-UNI# ,,Fully Vaccinated,  Bupa  ,"43,232.00",9244,fOoD sERVICe,S846673,agent assisted~  
,Jordan,Australia,JOR,AUS,2008,09-26-2007,26-01-2008,26,Female,wIdOWeD,Environmental Science…,MCehanicAL,Master,PaKistAN,Community,EmTropoLiTAn CoLlEGE,None,USD 0,"$50,545.00", USD532.00 ,  MiXEd🙂,no,15,rESEARch%,  aPProvED  ,Oct-10, PTe  ,64,2.38,Conditional Offer,Withdrawn??,47,OfF-CAmPus,N,1,  sTateLEss ,asia,ocEANiA,Agent,eDUliNK PVT LTD,jor-SIN-auS,,UNKnoWN, AetNa ,"USD 34,849","3,431.00",IT Support,S441798,bakn statement ok
1027,Argentina, FrancE,ARG  ,FRA,2007, 02/07/2006  ,06-Nov-06,27,femalE ,Divorced, Sociology ,NETwORKs,phd@,Kenya,Publci,InteRnAtIOnaL InstiTuTe OF SciEncE,oNnke,0 USD,"39,127 USD",1614,selF-Funded,N,1,  tRaINiNG ,ApproveD, 07-11-2008 ,pTE,69,3.18,Conditional Offer,On Leave,24,Offc-ampus,1,2,  Refugee ,mAericas!,EuROpe, walk-IN  ,Nil,ARG-fRA,"€1,753",UNKNOwN,Bupa,"76,890 USD","3,917",Food SERvIcE!,S174462,doCs VeRIFIED.~
1028,Jordan,New Zealand,JOR,NZl ,2022,21-08-2021,29-05-2022,24,  Female ,Divorced,Data Science,Microeconomics,BAcheLor,Ethioipa  ,RESeaRcH,COAstal buSiNess ScHoOl%,None, 0 USD ,"$36,594.00^","2,405.00??",familY, ,8,Training,apPrOvED*,2024-05,PTE,48,2.85,  Offer* ,Deferred,52,Homestay,T,2,Refugee,Asia,oCEaNIA  ,wALk-In,,JOR-NEW,"$2,240",Unknown,aeNTA,na,"$5,999.00",Tutoring??,S849310!,  late submission  
1029,Algeria,Czech Republic,DZA ,CZe@,2021,12-Sep-20,"Mar 25, 2021",29,  FemalE,Single,ARts, Microeconomics , Master  ,  SOuth afRiCa@ ,Community,Global Tech University,noNE,$0,"€5,944",2127,faMily,0,16,Training,peNdINg,09-26-2022,DUOLINgO,96,3.82,  Offer,No-Show,56,Private Dorm,Yes,2,sTaTeLEsS,afrICa,EUrOpE, OnlInE PORTAL ,,ALG-ICN-FRA-ZCE," USD 2,236 ",fULLY VACciNATeD, AEtNa  ,7678,"$7,293.00",Retail,S204579_2021,baNk STatemeNT KO
1030,Zimbabwe,Hong Kong,ZWE,HKG,2012,02-09-2011,08-24-2012  ,23,Other,maRrieD,coMPUTeR SCIencE,Genetics,Certificate$,Syria,Research,nORtHern meDicAl SChoOl  ,University ,"11,022","£26,626"," 1,327 USD ",SElf-fUndEd  ,no,21,exChAngE,Rejected,22-11-2014,IELTS,6.5,3.44,Waitlist, GRaDUAteD,35,Homestay,Y,2,dUAl,AfricA,AsIa,aGeNT,GoAbroad Services,  ZIM-DOH-FRA-HON,891,unKNowN, LOcal Plan  ,"53,408.00","$2,147",LoGisTics,  S329957  , BaNk sTATEMeNT ok 
1031,aRgENTiNa,jaPAn,ARG,JPN  ,2017,  04-Nov-2016 ,2017/08,27, Female ,DivOrceD,  Law  , ElECTriCaL,Certificate,vIeTnAm, tecHNIcAL  ,  coAStAl BUSinESs sChOol,Government  ,"$10,383.00","38,588 USD",2054,SeLf-fUNDED,no,17,traINIng,aPpRoVed,08-03-2018,TOEFL,81,3.25,waITliSt,Withdrawn@,20,Private Dorm,TRUE,2,StAtELeSs,AmeRICas,aISas,Email,GlobalEdu  ,  ARG-NRT-JAP  ,376 USD,  FuLly vaCcINaTed  ,aETna,"61,789","11,309 INR",tutoRing  ,  S920229 ,medical insurance pending
1032,  Afghanistan ,Germany,  FAG  ,DEU,2014,02-04-2013,21-05-2013,24,FeMaLe,sinGlE, laW,epIdeMiOlOgY,  MAsTeR#  ,  Myanmar,  Research,STaTE rEsEARch UNIvErSitY, None  ,NA,46383,"1,240.00",sChOlARshiP🙂,T,20,Research,Pending, 02-21-2014,  TOeFL ,98,3.16,Offer,Graduated,34,on-CaMpus,FALSE,2,Single,Asia,EURoPe,AGnet, ,aFg-GER, ,fuLydL Vaccinated,Local Plan," €14,839 ","£10,022",LOgIstiCs,S569048-2022,needs transcript eval
1033,Colombia,sPaIn,coL,esP,2016,19-09-2015,Jan-16,35, oTheR  ,Widowed,Education*, Mechanical ,BAchelOR,Colombia^,PuBlic,State Research University,University,"USD9,456.00","€59,620","2,024 USD",SCHolArSHIP,T,6,reSEArCh,Under Review,10-Apr-18, Pte,67,2.5,Reject!,wITkdhrAwN,29,Off-campus,No,0,Stateless,AMERiCaS,  EuRoPe  ,oNline POrtAl,Nil,COL-ICN-CDG-SPA,1355,pARTIalLY vaCCinaTeD,AXA,"£62,306","$9,335.00",Tutortign,S325397  ,ageNT aSSIsTed
1034,Malaysia,Canada,MYS,CAN,2023,27-07-2023 00:00,"Jul 12, 2024",18,mALe??,  sINGLe , BUSInESs,uRBAN pLaNNIng,Phd,geRmAny,PuBLIc^,Northern Medica lSchool!, uNIVErSitY,"USD 24,519@",19122,"1,861.00", LOaN# ,Yes,0,  Student,Approved,"Dec 08, 2028",ieLTS,7.7,3.42,Reject,Deferred ,46,hMoEstay,no,1,  Dual,AsIA,AMerICaS,  OnlineP ortal  ,,  MAL-CAN,"1,934",uNvaccinATed,NOnE$,"44,758.00",€629,TutoRiNg,S253735,needs trainsrcipt eval
1035,Mongolia, New Zealnad,MNG,NZL,2023,"Feb2 3, 2023%",12-Feb-24,27,mAle,Divorced,Socioolgly,Curriculum Studies, Bachelor  ,Morocco  , Research, inTerNAtionAl iNstITute oF SciEncE  ,goVeRnment ,"USD26,904.00","USD52,057.00","€2,305",Family,yes,12,Student,Approved,08-11-2025,PTE,52,3,rEject,On Leave,34, HoMEstay@  ,yes,0, Refugee ,Asia,oCEAniA,ageNT,,MON-LHR-NEW,"USD 2,281",Fully Vaccinated,nONE,"$52,378*","4,599.00",Logistics%,  S886170  ,  IELTS re-tAKE AdVISEd*  
1036,Myanmar$,qAtAr,mmR,QAT,2008,01-27-2008 00:00,07-08-2008,26,Female,dIVOrCED,mAthEmAtiCS,MEchANIcAl,Master,Morocco,Technical,Global Tech University,None🙂,$0.00,"€44,992",$102.00,Loan,no,7,Training,aPpRoVED,24-Feb-13,Duolingo,88,3.15,oFFER,enROlled,36,  SHAred ApartmEnT ,N,1,ASylum sEeKer,ASIa!  ,asiA,Online poRtal,,mYA-DOH-qat,£360,UnVAcCinATED,Cigna,39284,"£2,718",  riETALi  ,s112809…,late submission
1037,Venezuela,Portugal,vEN,PRT,2009,26-01-2009,  10/2009 ,25,Female%,WIdOWeD~,Physics,urBan PLANniNg,Diploma,Ethiopia!, communIty ,State Research University ,PrIVaTe,"$9,026.00",36382,£998, sChOLarSHIp,FALSE,9,  Training ,xepIREd,20-08-2014,  pET,62,3.41, Offer,Deferred🙂,384, PrIvate dOrM ,F,1,AsyluM SeeKer,aMERicAS,EUrOpE,agent,BrightFuture Ltd.,VEN-HKG-POR,"2,103",  nuknOwN  ,eAtna,"31,305",$746.00,  reTaIL ,s684798@ ,gap yea rexpLaineD
1038,France  ,ChiNa ,FRA,CHN??,2013,2013-06,18-03-2014,30,Non-binary,Divorced,Engineering$,Electrical,MsATEr,rIAQ,rESeARCh,City Polytechnic, Private??,"USD 18,498","14,744 INR","$1,319",Loan%,1,14,Research…,Pending,Mar-18,IELTS,7.2,2.69,Waitlist#,  ON LeAvE ,50,On-cAMpus,Y,1,rEfuGee,ErUOpE,Asia,Email,Nil,FRA-LHR-CHI,"$1,166",  Fully Vaccinated,alLiaNZ,"€4,648","1,451",  IT Support#,  S230096~  ,  Docs verified.…  
1039,Italy,United Arab Emirates, ITA  ,ARE,2023,2023-03 ,09-Jan-24,29,  Female,iWDOweD,bIology,Civil@,Bachelor,Sri Lanka,  ReseArch,Central Arts Academy,UnIveRsitY🙂  ,"€13,012","27,392.00","€2,101",Self-funded,na,2,eXcHANGe,ApprOVed,12-06-2027,iEltS,5.9,3.21,Waitlist~,Graduated,27,OFf-cAmpUs,N,1,ReFUgEE ,  Europe ,Asia,  Online Portal,na,  ITA-CDG-UNI  ,"2,267",Partially Vaccinated,AXA,"€47,564","7,394 INR",IT Support,S7892552/025,medical insurance pending
1040,  BaNgladESH,Germany,BGd%,DEU*,2018,21-Feb-17, 2017-12,29,OThER,  Widowed  , Physics,Curriculum Studies^, Certificate ,frAnce, tEchnical ,CENTraL ARts AcaDEMY,None, £0 ,"$58,479.00","$1,094.00",Sponsor,Yes,1,  Exchange  ,apprOvEd,  07/2019,Duolingo,87,3.77,  Reject,DefeRreD,40,Homestay??,No,2,Refugee,AiSA,Europe🙂,Online Portal,,BAN-CDG-NRT-GER,"USD 2,028",unKNOWn,Allianz,"26,446 USD","USD 8,051",heAlthCARE,  S128353-2022  ,gaP YEar eXPlaInED 
RID-1041,oJrdan,Switzerland,JOR$,che,2023,22-05-2023,Apr-24,20,Female,Widowed…,  Computer Science ,Mechanical,MAstEr  ,caMEroon,rESEArch🙂,Northren Medical School,None,€0," $22,554 ","USD2,458.00",Family🙂,Y,16,Research,ApPrOVeD,06-07-2026,IELTS,5.3,4,Waitlist ,WiTHDRAwN,56,  Off-campus ,Y,0,rEFUGEe,Asia,Europe,Email,eDUlInk llC,JOR-ICN-SWI,470 INR,fULly vacCinATeD,  axa,"8,869 USD",547,tutOrIng,S133760_2023,  late submission  
1042,mYaNMAr,  Hong Kong$ ,MMR@,HKG,2006,29-Apr-06,"Apr 28, 2007",29,NON-BiNaRY,SInGlE!,  Medicine  ,ASTrOpHYSIcs,bacHeloR,ChiNa,Pubilc,Coastal Business School,nOne^,$0,"53,843.00","£2,223",MixEd  ,F,13,Student  , PenDing  ,11-Dec-10,Duolingo,111,3.05,Waitlist,DefErReD,84,ofF-CAmpuS,F,0,Dual,Asia,Asia,WaLk-iN,Nil,MYA-HON,2044,Fully Vaccinated, Bupa  ,"15,417","USD 10,833",Food SrevIce,  s202128 ,late submission*
RID-1043,Thailand  ,pORTUgAl🙂,  uHTA  ,  PRT  ,2008,07-20-2007,2008-01 00:00  ,23,Male, Married ,Business,Organic Chemistry,Bachelor,  France  ,Private ,  centrAl arTS ACAdEMy#  ,  None ,0,"£16,671",€715,SELF-FuNDED*,TRUE,5,  TRAINinG,APpROved,  2012/02/23,PTE,49,2.85, conditIonaL OfFeR ,  grADUateD  ,15, On-campus  ,F,1,dUAl,  ASIa$ ,Europe🙂,emaIl,StudyWise Pvt tLd,Tha-PoR,"1,977 USD",Partially Vaccinated,aEtNA*,"59,739"," 2,819 INR ",  Tutoring  , S387364-2024  ,ieLt srE-tAKe adVIseD
1044,Morocco,Qatar,MAR,QAT,2017,2017-02,2017-11,32,NOuN-BnIarY,Widowed ,Mathematics,Urban Planning^,CERtifiCate,INdONEsIa,Research,Global Tech University,noNE,£0,"USD 10,308","£1,966🙂",Family ,FALSE,1,exchaNGE,APPRoved,Dec-18,duoLingo,95,2.83,  waiTLIst,DEFERREd,28,Homestay,N,1,reFuGEe, Africa,Asia  ,Wal-kin,,MOR-HKG-QAT,"1,227$",FUlLY vaCCiNATEd,nONE,"24,856"," $10,369.00 ",logISTIcs,S682547??*,visA INteRviEw SCHedULed
1045,Cameroon??,Spain,CMR, ESP,2011,23-06-2010,"Decj 17, 0210",22,mALe,WIDowEd,PHiLoSopYh,Networks,MaSTer🙂, niEGRIA  ,Community,inTErNationAL iNsTItUTe OF scienCE,partial,"5,561","£38,170","£1,328%",  MiXed@ ,Y,24,StudeNt,Pending,19-02-2012 00:00,PTE,55,3.53,oFfER$,wiThDrAwn,36,Private Dorm,FALSE,2,  Asylum Seeker  ,  Africa,Europe,aWlk-in,—,CAM-SPA,"2,492 USD",Unknown,Aetna," £37,271 ","€11,978",rEtaiL,S766276,  gap year explained
1046, Zimbabwe ,SiNGaPOER,ZWE, SGP,2009,21-11-2008,"apR 27, 2009",28,NoN-BINaRY,Single,eNViRoNMENtAL ScIencE,gENETIcS,MasteR!,Mongolia,Public,Northern Medical School,Government,"$5,229.00","£28,469",789,MIXed,1,3,Research ,appROVeD," Jun 01, 2013 ",TOefl,85,3.86,WaiTlIsT,Deferred,26, shARed APARTMenT,FALSE,1,AsYlUM sEeKEr,AfricA,asIa,agENt,,ZIM-IST-LHR-SIN,"$1,633",Unvaccinated,LOcAL pLaN,"USD13,781.00",1949,Logistics,S300355!,medical insurance pending
1047,braZIL$ , Portugal , BRA,pRT,2008,2007/10 ,"Jan 25, 2008",27,oTher,Widowed  ,Psychoolgy,Mechanical,PhD,spAIN,RESEArcH,stAtE RESeaRCh uNIVerSiTY,privAtE,"28,410 INR",35170,"£2,387",Loan,1,11,eXChAnGE  ,Approved,"Aug 07, 2011$",PTE,54,2.52, Conditional Offer  ,Deferred,44,privATe DOrm,F,2,REfUGEe,aMEriCAs,EuroPE,Agent,ScholarsHub Group,BRA-SIN-LHR-POR^," 19,500 USD ", Partially Vaccinated  ,Allianz,"52,645","$10,062.00",Tutoring,S350202* ,needs transcirpt eval@
1048,Kenya,NeW zEaland, KEN ,nzl,2014,28-08-2013 00:00,06-Mar-14,21,fEMaLe,widowED ,Sociology,neTWorKs,Certificate,Ukraine🙂,PUblIc,cENtrAL arts aCaDeMy,Private,"$22,993","£39,041","1,150",Loan,Y,2,trAINinG,ApprOvEd,  2016-04 ,DuolINgO,127,3.76,Conditional Offer,Withdrawn  ,18,  on-caMpuS ,FALSE,1,sniGle,Africa,Oceania,Walk-in,,KEN-IST-NEW,USD 691,Unvaccinated,LoCAL pLan," £4,260 ","$1,054",  Healthcare!  ,S174806_2022,IELTS re-taek advised  
1049,Mexico%,Canada,MEX,CAN,2016,"Mar 17, 2016",02-08-2016,21,Male,Single,Biology,FInaNce,Bachelor,South Korea🙂,Community,Northern Medical School, PARtIaL ,"24,951 INR","$32,351.00*","USD2,141.00",miXed,TRUE,14,TrAiINnGr,  ApPRovEd,2017-10,TOEFL,80,2.68,Reject,Graduated,7, prIVaTE DORm,F,0,reFuGeE,  Americas%  ,ameRiCAS,Email,GlobalEdu Services,Mex-cAN??,"1,095",fuLLy VAcCInaTeD,NonE,"£46,904","£5,841",IT sUPpoRt,s587527-2024 ,Docs verified.
1050,Algeria,UNiteD arAb emiRATES,DZA,ARE!,2014,03-02-2014,May-14,35,NOn-biNarY,diVorced,  Psychology  ,AI,DIplOMa,Mexico  ,Technical,Coastal Business School,NONe,$0,"17,236",$951,  LOAN  ,1,15,Student,ExPiREd,"May 14, 2019",Duolingo,126,3.65,waITlISt,on Leave,12,Off-campus,N,2,Stateless,AfrICa,Asia,Online Portal,,ALG-UNI,2185, uNvACCIANtED, AlliAnz ," 14,801 USD ","USD3,761.00",  IT Support  ,S218287/2024,baNk StaTemeNT OK
1051,Sri Lanka,Norway,LKA$,nOr,2018,07-12-2017,"May 03, 2018",23,mALE,MARRieD,Law%,Graphic Design…,Diploma,Venezuela,Private,inTernATioNaL instiTUte oF scIENcE,GoVeRnMEnT,"£8,025"," €49,058 ",528 INR%,SeLf-fUndeD,no,11,Research,ApproveD,Jan-21,TOEFL,107,3.11,cOndITiONaL OFFeR,no-shoW,41,ON-caMpUs,,0,Single,asIA,EuROpE??,WAlk-IN,,SRI-HKG-DOH-NOR," $1,200 ",unKNown%,ocNne,"USD 68,846",€854,Healthcare,s195576,visa interview scheduled…
1052,Indonesia,Qatar,IDN,QAT,2017,  2017-07-13  ,2018-02…,18,NoN-bInaRY,Single%,eCOnOmiCS??,  AI#  ,PhD,South Korea, Reserach  ,International Institute of Science%,uNIversItY," €6,441 ","$48,056.00",1029,MIxed,FALSE,21,TraInIng  ,Approved,"May 18, 2021",iElTS,6.9,2.35,Offer~,On Leave,32,on-CAMPUS,TRUE,1,Refugee,AisxA^,Asia,eMAIl??,CampusWorld Inc.*  ,IND-QAT,1195,Unknown??,  axa~ ,"$9,924.00","10,894 USD",UTtoring , s102672/2023 ,agent assisted
1053,ThALiANd,FiNLAnD,THA,FIN,2007, ,15-07-2007,30,oThER,MArRiEd,NursIng,civIL*,MAster,Bangladesh,communIty,inTERNAtIonAL iNSTiTUte Of scIENcE ,Partial," $5,484 "," 28,040 USD ","1,447",SpOnSOr,no,15,Student,penDing,Feb-10,IeLTS,3.9,3.69,  condiTIoNal OffeR ,gRAduATED  ,35,hoMEstAy,F,2,  Stateless,  AsIa,EUrOpE,WALK-In,,THA-FIN,"$1,643.00",UNKNoWn, AetNa,"$53,374",10679,RetAIl,S194428,agent assisted??
1054,Thailand, France  , THA ,FRA*,2017,17-05-2017, 06-17-2017  ,21,NoN-BINArY,Single,soCIologY,oRGANIC ChEMiSTRY,Certificate,Myanmra,prIVATE,State Research University??,  nONE ,0,"USD20,857.00","1,221.00", mIXeD,TRUE,7,EXCHanGE,PeNdING  ,12-02-2022,duOLINgo,103,3.47,  CONditIONal OFFer ,On Leave,35,  Off-cAMpUS^  ,T,0,Dual,aSia,  EurOpE,Walk-in,,THA-AUH-FRA  ,"€2,329",UnVacCinateD,  BUpa  ," £68,850 ",4708,logIStiCS,S616154,IELTS re-take advised
1055,Myanmar,China~,MRMo,CHN,2017,2016-04 00:00,30-01-2017,35,OthEr🙂,Divorced,MATheMATiCS,  Urban Planning  ,CERTIFicstAe, Algeria,Community,Metropolitan College,  NONE,$0.00,"$55,464.00~","1,620 USD",Mixed,N,21,  rEseArCH,PENDIng," Dec 20, 2020", IELTS  ,6.9,3.1, Waitlist  ,NO-SHoW,34, Priavte Dorm ,1,1, STatelESs  ,asia…,AsiA,Agent,,MY-AAUH-CHI,937,UNvACcInAted,Aetna~,"32,128 USD","USD 10,989",  TUtORInG  ,S387448🙂,late submission#
1056,China,CANADa,cHN,CAN,2021, 2021/03/13 ,2021/11  ,28,otHer,sInglE,Medicine,Graphic Design,Bachelor,South Korea,Community$,Global Tech University🙂,PrIVATe,"£3,824","USD 15,920",549 USD,Mixed,Yes,10,Student,Approved^," Apr 11, 2026  ",TOEFL,83,3.62,rejECT,NO-sHow,13,HOMeStAy,No,2,staTeelSs,Asia,aMERICAS!,  OnLIne porTAl,,CHI-FRA-CAN,271,ParTiaLLY vACcinatEd, None* ,"11,347 USD", $855 ,REtAiL,S272863_2022,DOcS VerIFied.
1057,Pakistan,Canada,PAK,CAN,2018,May-18,  2081-10-08 00:0a0 ,21,noN-biNAry, SIngLE,  Environmental Science  ,Urban Planning,Bcahelor, SRi lANka ,TEcHnIcaL,cIty pOyLTechNIrC,  NONe ,—,"13,242","$1,033.00",SelF-FUNdED,F,25,  StUDenT,aPpRovED,08-04-2023,DuoliNgo,124,2.92,Offer,Withdrawn,43, O-ncampus*,F,1,DuAL,aSIA,aMerIcaS,eMAIl,BrightFutrue Group,PAK-DOH-IST-CAN,USD 246, Unknown#  ,Allianz," 37,465 USD "," USD 3,427 ",Food Service,S548656,banK statEMEnt OK??
1058,kenYA ,New Zealand,keN,nzl??,2017,18-02-2017,"Jan 14, 2018",18,Other,maRrIeD,EcOnoMiCS  ,Mechanical,Bachelor,  IrAQ ,prViaTe,Metropolitan College,GOVErNMEnT,"13,514 USD",48157,"1,209 USD",Mixed,F,24,  ExCHAnGE  ,APPRoVeD,2019-02,Duolingo,112,3.72,Offer,NO-sHOw,36,pRiVATe DoRm,1,0, sinGLE  , AfrICA ,oCEaniA,Walk-in,,KEN-CDG-NRT-NEW,1860,pArtILalY vACCInaTed,Local Plan,"73,727 USD"," €9,883 ",IT SUPpORt,S229220/2025, gaP YEaR EXPLaIneD@
1059,Jaapn,Spain,JPN,ESP,,02-12-2016,01-06-2017,18,other,Widowed  ,Psychology,microEconOmiCS🙂,Bacheolr??,iran,TechNicAL,Metropolitan College,None,0,9445,"USD 2,299",sPonSOr,,0,Student,Approved,03-07-2018~,duOliNgO,101,3.09,oFfeR,graduatED,35, HoMEstay  ,Y,2,aSYLUm SeEkEr,  asiA…,EuropE,Walk-in,null,JAP-DXB-SPA,1858,Fully Vaccinated,AEtNA,"€45,778","3,822.00", RETAiL  ,S310626  , visa interview scheduled^ 
N/A,CHIna* ,uNItEd STaTEs,CHN!,SUA??,2005,09-07-2004,02-11-2004,32,Other,widOWeD,Physics,MICROEcoNOMics, qBAchELrO ,laGerIA,COmMUniTy,International Institute of Science,nOne, £0 ,N/A,"USD1,892.00",Loan,T,1,Student,Approved,2005-08,PTE,64,3.05,wAiTLIsT,Withdrawn~,60,Off-campus,no,1,Refugee,AsIa,  aMERicAS  ,eMaIl,EduLink,CHI-FRA-IST-UNI  ,"2,200.00",Unknown  ,local PlAn,"€18,367",598 INR,Logistics,s941440,needs trasncript eval@
1061,India,aUsTRALIa,IND,  AUS*,2019,Jun-19,"Dec 10, 2019",29,  fEMaLe$  , MarrIED,Biology,CogNITIVe pSyCHoloGy,PhD,THAilaND,  Community%,National University,GOVERNMent," 19,033.00$ ","19,277 USD","$2,375.00",Scholasrhip,Y,9,STUDENT ,reJeCTED, 2024-12 ,  PtE  ,49,2.88,Offer,eNROllEd ,55,  oN-caMPUS  ,TRUE,1,Refugee, Aisa  ,Oceavina,aWlk-in,,IND-CDG-AUS,"1,380 USD",Fully Vaccinated…,axA,27190,"12,391",food SeRvIce,S263612, lATE subMIssiON  
null,Poland,Switzerland#,POl,CHE%,na, 2007-10 ,05-08-2008,19,aMlEx*,Widowed,Arts,GraPHiC DESIGN,Master, Thailand ,cMOMUnITy…,CEnTRaLA Rts ACadEmY??,Government,19519," USD49,548.00 ","1,717 INR",fAImljy,FALSE,23,TraINInG,Rejected  ,03-09-2012, toEFL,72,3.77,Waitlist,gRAdUaTed,51,  priVATe dorm  ,Y,1,Stateless,Europe,Europe,Agent  ,EduLink,POL-AMS-CDG-SWI,"USD 1,824",unVAccinATED,cIgNa,,"€1,756",fOOd sErVice,S661384,fee waiver granted
1063,mexicO,United States%,MEX,USA,2016,"Apr 25, 2015 00:00",Mar-16,30,  oThER  ,WIdoWEd,PHySIcS,Finance,MAster,  Pakistan  ,Technical🙂,Central Arts Academy,pArTIaL,,"35,166.00","£1,213$",Sponsor,F,23,  REsEArcH  ,appRoVEd,2021/02/07$  ,IELTS,6.5,2.57,oFFER ,Graduated,13,hOlMSETay!,N,0,Single,Americas,Americas,OnlINe pORtAL,,  MEX-CDG-DXB-UNI ,"1,703",Partially Vaccinated,Aetna,"$70,328","€1,902",Retail  ,s293058_2023,visa interview scehduled
1064,mAYnMAR,  Japan,MMR,JPN,N/A,2016-05-05^,07-04-2017,19, MALE,Married,Public Health,cLImatE ChangE…,baCHEloR,Indonesia,REsearch,  National University ,None  ,0 INR,"$32,397.00","USD 1,561",Sponsor,no,6,Student,PenDING,2022-01,OTEFL,84,3.53,OFFER,dEFeRreD,25,  hOMEstay$  ,F,0, Asylum Seeker  ,ASIA,AsIa,waLk-IN,N/A,MYA-ICNL-HR-JAPq,,Partially Vaccinated,Cigna,"$33,734",2837,  Healthcare , S298526$ ,  visa interview scheduled  
1065,  Russia ,Canada,RUS…,CAN,2023,  01/06/2022,  03/2023 ,33,Non-binary$,Married,MedicINE,eLectrICaL,BACheLOr,Ghana,pUbLIC,National University,None*,0, ,"USD 1,341",LoaN,no,7,STUDENT,pAproved, 2024-05-07@  ,TOEFL,87,3.18,Conditional Offer,No-Show,45,oN-CAmPus,F,1,Single,euROpe,Americas,WALk-In,null, RUS-CAN ,USD850.00,PArtiaLLY vaCCinATeD,AxA,"£29,338","$4,035.00",heAlTHCARe,s274776🙂,ageNT aSsiSTeD
1066,Nigeria,United Statse,GNA,USA,2024,28-01-2024,26-05-2024,23,Non-BINarY, Married  ,Computer Science,  climaTE CHange  ,Master  ,PERU ,  cOmMUNiTY ,Coastal Business School,None,0 USD,"44,325 USD","€2,024",Loan🙂,null,8,rEsEaRCH,pENdiNg,Dec-28,TOEFL,81,4,Offer,Graduated,13,hoMesTay,FALSE,1,Single,afriCa!,amEricAs, agent,N/A,NIG-NrT-CDG-UNI, $937.00 ,Unvaccinated,AetnA,"10,717.00"," €2,051 ",Logistics??, S254574??  ,  vIsA intERvIeW SchEdUlEd
1067,China  ,United States,  CHN  ,  USA ,2010,08-03-2010,28-06-2010,23,Non-BiNARY,Married,Psychology,Astrophyiswcs ,  PhD~  ,jOrdAN,Technical,Global Tech University,None,USD0.00,,USD470.00,Mixed%,na,21, stdUeNt ,Approved,Jul-11,TOEFL*,67,3.49,Reject, GraDuatED  ,29,off-cAMPus,TRUE,1,dUal,AsIa,AmERICaS,Emial,,CHI-IST-AUH-UNI ,"£2,188",unvAcCiNATED,Aetna,"32,955.00",9031,Logistics,s137208/2022,Dcos verified.@
1068,Russia,Singapore,RUS,  SGP,2018,Dec-17,"  Jun 23, 2018",34,Female,Married,Chemistry,Urbna Planning,mASTEr,South Africa, rEseaRCh,Coastal Business School, Government  ,"11,618 INR","37,239 INR$","$2,298",sChOLarSHIP,yes,21,Exchange,  PenDInG* ,20-12-2200,PTE,53,2.95,Waitlist,EnRolLEd,53,SharEd pAARTMENT,null,2,DuAl,euROPe,  Asia ,onlIne poRTAL,,RUS-DOH-DXB-SNI,"2,380.00", partIally VAcciNAteD🙂  ,NONE  ,"USD 52,355","1,615",LOgIsTICs,S177090%~,gaP YEARe xpLaiNed
